Person_ID,Transaction_Amount,Account_Balance,Category,City,Transaction_Date,Is_Anomaly
1,565.2975764582499,3875.79849766441,Electronics,Chicago,2024-01-01 00:00:00,0
1,572.3781677754844,3519.3619856669666,Entertainment,Phoenix,2024-01-01 00:01:00,0
1,578.8369717288664,4255.2302075666685,Food and Dining,New York,2024-01-01 00:02:00,0
1,161.67567549116586,4659.621234024291,Entertainment,Phoenix,2024-01-01 00:03:00,0
1,765.6740883020195,5331.085676338022,Entertainment,Los Angeles,2024-01-01 00:04:00,0
1,554.3022300542266,4586.3909188944635,Clothing,Houston,2024-01-01 00:05:00,0
1,630.3170194301726,3772.492107354391,Food and Dining,Houston,2024-01-01 00:06:00,0
1,934.0832228665797,5275.973286024182,Food and Dining,Los Angeles,2024-01-01 00:07:00,0
1,180.95581111413787,4604.749605768999,Food and Dining,Chicago,2024-01-01 00:08:00,0
1,832.669167953775,5386.7858338439455,Entertainment,Chicago,2024-01-01 00:09:00,0
1,138.27847936191327,4418.337560193275,Electronics,Houston,2024-01-01 00:10:00,0
1,585.5421829390289,4900.7503332586675,Food and Dining,Houston,2024-01-01 00:11:00,0
1,880.5912349863265,5887.735714874177,Entertainment,New York,2024-01-01 00:12:00,0
1,106.40933682200435,4607.682736139778,Clothing,Chicago,2024-01-01 00:13:00,0
1,14.215336342673979,4343.727181031212,Electronics,Los Angeles,2024-01-01 00:14:00,0
1,261.96233723051927,5387.104435622897,Clothing,Chicago,2024-01-01 00:15:00,0
1,272.63180254056556,4513.227723638928,Electronics,New York,2024-01-01 00:16:00,0
1,866.0039095894952,5321.316195609452,Entertainment,Houston,2024-01-01 00:17:00,0
1,890.5622446969949,5005.909401401344,Groceries,Houston,2024-01-01 00:18:00,0
1,917.2112881003933,5827.350580589999,Electronics,New York,2024-01-01 00:19:00,0
1,896.2224260139162,4602.121410597326,Clothing,Los Angeles,2024-01-01 00:20:00,0
1,214.38026583461067,5505.019182439839,Entertainment,Houston,2024-01-01 00:21:00,0
1,408.10453592522936,4092.456169127415,Electronics,Phoenix,2024-01-01 00:22:00,0
1,716.6193143235896,4293.269035799242,Groceries,Houston,2024-01-01 00:23:00,0
1,868.9660424467762,4571.190129498779,Groceries,Phoenix,2024-01-01 00:24:00,0
1,183.09038408741839,5045.081759079067,Food and Dining,New York,2024-01-01 00:25:00,0
1,682.4237149738367,3516.3736410526417,Food and Dining,New York,2024-01-01 00:26:00,0
1,593.1226856752585,3194.9580432568105,Clothing,Houston,2024-01-01 00:27:00,0
1,550.0160035603147,3773.880085523676,Electronics,Chicago,2024-01-01 00:28:00,0
1,374.2476442408515,5251.195472958813,Electronics,Phoenix,2024-01-01 00:29:00,0
2,660.9599429845931,4504.007278924302,Food and Dining,Los Angeles,2024-01-01 00:30:00,0
2,145.58902024539896,5868.875734132712,Electronics,Houston,2024-01-01 00:31:00,0
2,176.15776665172,5177.4430736490895,Electronics,Los Angeles,2024-01-01 00:32:00,0
2,443.8304264260038,4099.952534039702,Groceries,Houston,2024-01-01 00:33:00,0
2,185.92160776438914,4509.118171098275,Food and Dining,Chicago,2024-01-01 00:34:00,0
2,948.9465065422905,5079.221859237872,Entertainment,Chicago,2024-01-01 00:35:00,0
2,867.4304429729265,5331.368829488027,Food and Dining,Chicago,2024-01-01 00:36:00,0
2,820.084332132053,6291.611985942158,Entertainment,Chicago,2024-01-01 00:37:00,0
2,904.4384386795581,5737.6797598403455,Groceries,New York,2024-01-01 00:38:00,0
2,7230.281415043612,27202.670668181596,Clothing,New York,2024-01-01 00:39:00,1
2,488.44944292507023,3734.5551726791664,Electronics,Phoenix,2024-01-01 00:40:00,0
2,843.5990320879392,5240.535748616108,Groceries,Los Angeles,2024-01-01 00:41:00,0
2,657.9641105844784,5786.710749403859,Electronics,Houston,2024-01-01 00:42:00,0
2,105.15211686239115,5041.9693963586005,Clothing,Houston,2024-01-01 00:43:00,0
2,959.9348976818151,5900.550913601039,Clothing,New York,2024-01-01 00:44:00,0
2,887.7434410868453,5402.368668495933,Groceries,Houston,2024-01-01 00:45:00,0
2,444.02090369191353,4080.2551031990088,Clothing,New York,2024-01-01 00:46:00,0
2,114.40722110697399,5492.613729787592,Entertainment,Phoenix,2024-01-01 00:47:00,0
2,600.9881817674406,3931.5193108524672,Clothing,Los Angeles,2024-01-01 00:48:00,0
2,755.9971737126069,4648.737421788197,Electronics,Phoenix,2024-01-01 00:49:00,0
2,917.6994757588186,5962.605152232939,Electronics,Chicago,2024-01-01 00:50:00,0
2,594.3735997095549,4600.261324009332,Electronics,Chicago,2024-01-01 00:51:00,0
2,681.9102789505115,3456.0766149754368,Electronics,Chicago,2024-01-01 00:52:00,0
2,573.7159983160558,3805.808035147722,Entertainment,Phoenix,2024-01-01 00:53:00,0
2,529.108542335023,4054.4213192701036,Food and Dining,Houston,2024-01-01 00:54:00,0
2,980.9738612503027,5054.595744848009,Groceries,Los Angeles,2024-01-01 00:55:00,0
2,835.7196843034438,4863.760403417394,Electronics,Chicago,2024-01-01 00:56:00,0
2,160.4507344102101,5215.607815731569,Clothing,Chicago,2024-01-01 00:57:00,0
2,80.05251323534367,4675.194607325828,Electronics,Chicago,2024-01-01 00:58:00,0
2,72.88548114363041,4194.744069047667,Clothing,Los Angeles,2024-01-01 00:59:00,0
3,719.8527733402336,4198.296316220829,Clothing,Chicago,2024-01-01 01:00:00,0
3,115.41751686312338,4896.58651645491,Electronics,Los Angeles,2024-01-01 01:01:00,0
3,798.3194779545007,4672.529266670155,Entertainment,Chicago,2024-01-01 01:02:00,0
3,667.2973198348265,3537.444787623267,Clothing,Phoenix,2024-01-01 01:03:00,0
3,888.2832204896588,4873.255062274342,Clothing,Phoenix,2024-01-01 01:04:00,0
3,939.8023421335677,5490.7846372556505,Electronics,Los Angeles,2024-01-01 01:05:00,0
3,724.764388348056,5270.793394800173,Clothing,Phoenix,2024-01-01 01:06:00,0
3,534.3133896332206,3306.4286056607702,Clothing,Los Angeles,2024-01-01 01:07:00,0
3,555.4065216910087,3917.9127281594438,Electronics,Phoenix,2024-01-01 01:08:00,0
3,614.5976178963244,3963.4976830650694,Electronics,Phoenix,2024-01-01 01:09:00,0
3,528.417824623678,4052.4703849577736,Groceries,Los Angeles,2024-01-01 01:10:00,0
3,666.1118536824131,3789.222260858356,Entertainment,Houston,2024-01-01 01:11:00,0
3,708.9719017248248,5566.45335540644,Entertainment,Phoenix,2024-01-01 01:12:00,0
3,826.1299384108337,4936.6807820695585,Clothing,Chicago,2024-01-01 01:13:00,0
3,12.061535401246218,3677.4673855744745,Entertainment,Houston,2024-01-01 01:14:00,0
3,706.1396399948773,3903.8956308203296,Clothing,Los Angeles,2024-01-01 01:15:00,0
3,746.0500134126702,5733.07739374909,Groceries,Houston,2024-01-01 01:16:00,0
3,960.8465336610839,4841.385761331571,Electronics,New York,2024-01-01 01:17:00,0
3,89.07092425962747,4903.404302757224,Electronics,New York,2024-01-01 01:18:00,0
3,898.879735895109,4574.754278905648,Electronics,Phoenix,2024-01-01 01:19:00,0
3,563.3300275095095,3261.616873264103,Entertainment,Phoenix,2024-01-01 01:20:00,0
3,750.8007439857998,3389.019557874347,Groceries,Chicago,2024-01-01 01:21:00,0
3,35.35488693045123,4644.594703612072,Entertainment,Houston,2024-01-01 01:22:00,0
3,498.06275149911323,5211.65709097048,Entertainment,New York,2024-01-01 01:23:00,0
3,715.9667570069395,4918.766011439612,Groceries,Phoenix,2024-01-01 01:24:00,0
3,513.2968361249343,3804.777188305664,Groceries,Houston,2024-01-01 01:25:00,0
3,822.7296109402694,4955.8290043417865,Groceries,Phoenix,2024-01-01 01:26:00,0
3,889.1238379889577,5294.984738442012,Groceries,Phoenix,2024-01-01 01:27:00,0
3,434.35754369577774,4055.494098430463,Electronics,New York,2024-01-01 01:28:00,0
3,781.7936185009888,5086.4873524394725,Food and Dining,New York,2024-01-01 01:29:00,0
4,575.5402690245481,4104.195520570595,Food and Dining,Phoenix,2024-01-01 01:30:00,0
4,220.05822382309714,5350.92524009623,Groceries,Los Angeles,2024-01-01 01:31:00,0
4,825.7781941178536,4713.2399319814795,Food and Dining,Phoenix,2024-01-01 01:32:00,0
4,63.92852260960255,5817.631047223855,Food and Dining,Phoenix,2024-01-01 01:33:00,0
4,283.0122929116051,3945.301555436746,Groceries,Chicago,2024-01-01 01:34:00,0
4,183.70211493954469,4837.896081953012,Food and Dining,Chicago,2024-01-01 01:35:00,0
4,926.2797288464724,4872.174153380363,Entertainment,Chicago,2024-01-01 01:36:00,0
4,511.25195163259866,3769.5456473587847,Clothing,Los Angeles,2024-01-01 01:37:00,0
4,719.2369186601316,3982.5270490993826,Clothing,Los Angeles,2024-01-01 01:38:00,0
4,122.70102156223231,5125.351995279127,Groceries,Phoenix,2024-01-01 01:39:00,0
4,1092.5606401328737,5538.2576581870235,Electronics,Chicago,2024-01-01 01:40:00,0
4,83.93895250434122,5536.533400844284,Groceries,Los Angeles,2024-01-01 01:41:00,0
4,434.79458236674,4482.377722759383,Electronics,New York,2024-01-01 01:42:00,0
